go .	가다 .
come here .	이리 오세요 .
come over !	이리와 !
come over .	이리와 .
come soon .	곧 오세요 .
cool down .	진정해 .
did i win ?	내가 이겼어 ?
do it now .	지금 하세요 .
dogs bark .	개들이 짖는다 .
don't ask .	묻지 마세요 .
don't cry .	울지 마세요 .
don't die .	죽지 마세요 .
don't lie .	거짓말하지 마세요 .
don't run .	뛰지 마세요 .
excuse me .	실례합니다 .
fantastic !	환상적이다 !
feel this .	이것을 느껴라 .
follow me .	나를 따르라 .
follow us .	우리를 따르십시오 .
forget it !	잊어 버려 !
forget it .	잊어 버려 .
get a job .	취직 .
get ready .	준비하세요 .
go get it .	가서 가져와 .
go inside .	안으로 들어가세요 .
go to bed .	자러 가세요 .
good luck .	행운을 빌어요 .
grab that .	그거 잡아 .
grab this .	이것을 잡아라 .
hands off .	손 떼세요 .
he is ill .	그는 아프다 .
he is old .	그는 늙었어요 .
he's a dj .	그 사람은 DJ예요 .
he's good .	그는 좋다 .
he's lazy .	그는 게으르다 .
he's rich .	그는 부자입니다 .
he's sexy .	그는 섹시해요 .
here i am .	여기 있어요 .
here's $5 .	여기 5달러 있어요 .
hold fire .	불을 잡아라 .
hold this .	이것을 잡아라 .
how awful !	정말 끔찍해요 !
how weird !	정말 이상해요 !
how's tom ?	톰은 어때요 ?
i am busy .	나는 바빠요 .
i am calm .	나는 침착하다 .
i am cold .	나는 추워요 .
i am fine .	괜찮아요 .
i am good .	나는 좋다 .
i am here .	나는 여기 있다 .
i am lazy .	나는 게으르다 .
i am okay .	나는 괜찮아 .
i am sick .	나는 아파요 .
i am sure .	나는 확신한다 .
i am weak .	나는 약하다 .
i beg you .	부탁드립니다 .
i can run .	나는 달릴 수 있어요 .
i can ski .	나는 스키를 탈 수 있어요 .
i cringed .	나는 움츠러들었다 .
i exhaled .	나는 숨을 내쉬었다 .
i gave up .	나는 포기했다 .
i give in .	나는 포기한다 .
i give up .	나는 포기한다 .
i got hot .	나 더워졌어 .
i had fun .	나는 재미 있었다 .
i hate it .	싫어 .
i have it .	나는 그것을 가지고 있습니다 .
i hit tom .	내가 톰을 때렸어 .
i hope so .	그러기를 바랍니다 .
i hurried .	나는 서둘렀다 .
i inhaled .	나는 흡입했다 .
i knew it .	나는 그것을 알고 있었다 .
i like it .	좋아요 .
i lost it .	나는 그것을 잃었다 .
i love it !	나는 그것을 좋아한다 !
i love it .	나는 그것을 좋아한다 .
i mean it !	내 말은 !
i mean it .	내 말은 .
i must go .	나는 가야 해요 .
i need it .	나한테는 그게 필요해 .
i noticed .	나는 알아차렸다 .
i prepaid .	나는 선불 .
i promise .	약속해요 .
i relaxed .	나는 긴장을 풀었다 .
i retired .	나는 은퇴했다 .
i said no .	나는 아니라고 말했다 .
i said so .	내가 그렇게 말했어 .
i saw him .	나는 그를 봤어요 .
i saw one .	나는 하나를 보았다 .
i saw you .	나는 당신을 보았다 .
i see tom .	톰이 보여요
i shouted .	나는 소리쳤다 .
i tripped .	나는 넘어졌다 .
i want it .	나는 그것을 원한다 .
i was new .	나는 새로운 사람이었습니다 .
i will go .	나는 갈 것이다 .
i woke up .	나는 일어났다 .
i'd agree .	나는 동의한다 .
i'd leave .	나는 떠날 것이다 .
i'll call .	내가 전화할게 .
i'll cook .	내가 요리할게 .
i'll help .	내가 도와줄게 .
i'll live .	나는 살 것이다 .
i'll obey .	나는 순종할 것이다 .
i'll pack .	내가 싸줄게 .
i'll pass .	나는 통과할 것이다 .
i'll quit .	그만둘게요 .
i'll sing .	내가 노래할게 .
i'll stop .	그만할게 .
i'll swim .	나는 수영할 것이다 .
i'll talk .	내가 얘기할게 .
i'll wait .	기다릴게 .
i'll walk .	내가 걸을게 .
i'll work .	나는 일할 것이다 .
i'm a cop .	나는 경찰이다 .
i'm a man .	나는 남자입니다 .
i'm alive .	나는 살아있다 .
i'm alone .	나 혼자야 .
i'm angry .	나는 화가 났다 .
i'm armed .	나는 무장했다 .
i'm awake .	나 일어났어 .
i'm blind .	나는 장님이다 .
i'm broke .	나는 파산했다 .
i'm clean .	나는 깨끗해요 .
i'm crazy .	나 미쳤어 .
i'm cured .	나는 치료되었습니다 .
i'm dizzy .	어지러워 .
i'm drunk .	나 취했어 .
i'm dying .	나는 죽어 가고있다 .
i'm early .	나는 일찍이다 .
i'm first .	내가 처음이야 .
i'm fussy .	나는 까다롭다 .
i'm going .	나는 간다 .
i'm loyal .	나는 충성 스럽습니다 .
i'm lucky .	나는 운이 좋다 .
i'm lying .	나는 거짓말을하고있다 .
i'm naked .	나는 알몸이다 .
i'm quiet .	나는 조용하다 .
i'm ready !	난 준비됐어 !
i'm ready .	난 준비됐어 .
i'm right .	내가 맞아요 .
i'm sober .	나는 술에 취하지 않았다 .
i'm sorry .	죄송합니다 .
i'm stuck .	나는 붙어있다 .
i'm timid .	나는 소심하다 .
i'm tired .	피곤해요 .
i'm tough .	난 힘들어 .
i'm yours .	나는 당신 것입니다 .
i've lost .	나는 졌다 .
is tom ok ?	톰 괜찮아 ?
is it bad ?	나쁜가요 ?
is it far ?	멀리 있나요 ?
is it hot ?	덥나요 ?
is it you ?	당신인가요 ?
it failed .	실패했습니다 .
it is new .	그것은 새로운 것입니다 .
it snowed .	눈이 내렸다 .
it stinks .	냄새가 나요 .
it was ok .	괜찮아요 .
it worked .	그것은 효과가 있었다 .
it's 3:30 .	3시 30분이에요 .
it's 8:30 .	8시 30분이야 .
it's a tv .	그것은 TV입니다 .
it's cold .	춥다 .
it's dark .	어두워요 .
it's dead .	죽었어 .
it's done .	끝났어 .
it's easy .	쉽습니다 .
it's food .	그것은 음식입니다 .
it's free .	그것은 무료입니다 .
it's here .	여기 있어요 .
it's hers .	그것은 그녀의 것입니다 .
it's late .	늦었어 .
it's lost .	그것은 분실되었습니다 .
it's mine .	그것은 내 것입니다 .
it's open .	열려 있어요 .
it's ours .	그것은 우리 것입니다 .
it's sand .	모래야 .
it's time .	시간이다 .
it's true !	그것은 사실이다 !
it's work .	일이야 .
keep that .	그걸 유지하세요 .
keep this .	이것을 보관하세요 .
let it be .	그렇게 놔두세요 .
let me go !	날 보내줘 !
let me go .	나를 보내줘 .
let me in .	나를 들여 보내줘 .
let's ask .	물어보자 .
let's eat .	먹자 .
let's see .	보자 .
lie still .	가만히 누워 있어라 .
look back !	뒤를 돌아봐 !
look here .	여기를 보세요 .
loosen up .	긴장을 풀어라 .
move over .	이동하세요 .
nice shot !	좋은 슛 !
of course !	물론 !
of course .	물론 .
oh please !	아 제발 !
pardon me ?	실례합니다 ?
read this .	이것을 읽어보세요 .
say hello .	인사해 .
see above .	위를 참조하세요 .
see below .	아래를 참조하세요 .
seize him !	그를 붙잡아라 !
seriously ?	진지하게 ?
she cried .	그녀는 울었다 .
she tried .	그녀는 노력했다 .
she walks .	그녀는 걷는다 .
she's hot .	그녀는 섹시해요 .
sign here .	여기에 서명하세요 .
sign this .	이것에 서명하세요 .
slow down .	속도를 늦추세요 .
stay back .	물러서라 .
stay calm .	침착해라 .
stay down !	가만히 있어 !
stay down .	가만히 있어라 .
stay here .	여기있어 .
stay thin .	날씬하게 지내라 .
step back .	뒤로 물러나세요 .
stop that !	그만해 !
stop that .	그만해 .
stop them .	그들을 멈춰라 .
take care !	잘 지내세요 !
take care .	잘 지내세요 .
take mine .	내 것을 가져가세요 .
take this .	이것을 받아라 .
thank you .	감사합니다 .
that's ok .	괜찮아요 .
that's it .	그게 다야 .
they fell .	그들은 떨어졌다 .
they left .	그들은 떠났다 .
they lied .	그들은 거짓말을 했어요 .
they lost .	그들은 졌다 .
they swam .	그들은 수영했다 .
time's up .	시간이 다 됐어 .
tom cooks .	톰은 요리를 해요 .
tom cried .	톰은 울었다 .
tom is ok .	톰은 괜찮아요 .
tom knits .	톰은 뜨개질을 한다 .
tom knows .	톰은 알아요 .
tom rocks .	톰 록스 .
tom spoke .	톰이 말했다 .
tom walks .	톰은 걷는다 .
tom waved .	톰이 손을 흔들었다 .
tom works .	톰은 일해요 .
tom's fat .	톰이 뚱뚱해 .
tom's mad .	톰은 화가 났어요 .
tom's sad .	톰은 슬퍼요 .
trust tom .	톰을 믿어라 .
try again .	다시 시도하십시오 .
try it on .	그것을 시도하십시오 .
turn left .	좌회전하세요 .
wait here .	여기서 기다리세요 .
watch out !	조심해 !
we agreed .	우리는 동의했습니다 .
we did it !	우리가 해냈어 !
we did it .	우리가 해냈어 .
we forgot .	우리는 잊어버렸어요 .
we saw it .	우리는 그것을 보았다 .
we smiled .	우리는 웃었다 .
we talked .	우리는 이야기했습니다 .
we waited .	우리는 기다렸다 .
we'll try .	우리는 노력할 것입니다 .
we'll win .	우리는 이길 것이다 .
we're hot .	우리는 뜨겁다 .
we're sad .	우리는 슬프다 .
we're shy .	우리는 부끄러워요 .
well done !	잘하셨어요 !
what else ?	또 뭐야 ?
what's up ?	무슨 일이야 ?
who cares ?	누가 신경쓰나요 ?
who is he ?	그는 누구입니까 ?
who is it ?	누구야 ?
who knows ?	누가 알겠어 ?
who spoke ?	누가 말했어 ?
who'll go ?	누가 갈거야 ?
who's tom ?	톰은 누구야 ?
who's ill ?	누가 아프니 ?
wonderful !	아주 멋진 !
write tom .	톰에게 편지를 보내세요 .
you drive .	당신은 운전합니다 .
you idiot !	바보야 !
you start .	당신은 시작합니다 .
you tried .	당신은 노력했습니다 .
all aboard !	모두 탑승하세요 !
am i clear ?	난 분명해 ?
am i dying ?	나 죽어가는 중이야 ?
am i early ?	나 일찍 왔어 ?
am i fired ?	나 해고됐어 ?
am i first ?	내가 처음이야 ?
am i hired ?	나 고용됐어 ?
am i right ?	내 말이 맞지 ?
am i wrong ?	내가 틀렸어 ?
answer tom .	대답해 톰 .
are you ok ?	괜찮으세요 ?
are you up ?	일어났어 ?
ask anyone .	누구에게나 물어보세요 .
ask around .	주변에 물어보세요 .
be careful !	조심하세요 !
be careful .	조심하세요 .
be content .	만족해라 .
be on time .	시간을 지키세요 .
be serious .	진지해지세요 .
birds sing .	새들이 노래한다 .
bottoms up !	바닥까지 !
bring food .	음식을 가져오세요 .
bring wine .	와인을 가져오세요 .
can i come ?	내가 가도 돼 ?
can i help ?	내가 도와드릴까요 ?
can i stay ?	내가 머물 수 있을까 ?
carry this .	이것을 가지고 가세요 .
check that .	확인해 보세요 .
check this .	이것을 확인하세요 .
choose one .	하나를 선택하세요 .
come alone .	혼자 오세요 .
come along .	함께 와라 .
come on in !	들어와 !
come on in .	들어와 .
come quick !	빨리와 !
come to me .	나에게로 와라 .
come to us .	우리에게 오세요 .
cut it out !	잘라버려 !
cut it out .	잘라내세요 .
did we win ?	우리가 이겼나요 ?
dig faster .	더 빨리 파내세요 .
do i stink ?	나한테 냄새가 나니 ?
do men cry ?	남자들은 울어요 ?
don't fret .	걱정하지 마세요 .
don't jump !	뛰어내리지 마세요 !
don't move !	움직이지 마세요 !
don't move .	움직이지 마세요 .
don't rush .	서두르지 마세요 .
don't sing .	노래하지 마세요 .
don't talk !	말하지 마세요 !
don't talk .	말하지 마세요 .
don't wait .	기다리지 마세요 .
duty calls .	의무 전화 .
face facts !	사실을 직시하세요 !
fill it up .	그것을 채워라 .
find a job .	일자리를 찾으세요 .
follow tom .	톰을 따라가세요 .
follow him .	그를 따르라 .
forget tom .	톰은 잊어버려 .
forget him .	그를 잊어 버려 .
forgive me .	용서해주세요 .
forgive us .	우리를 용서하세요 .
get a life !	인생을 얻으십시오 !
get to bed .	잠자리에 드세요 .
give it up .	포기해 .
go outside .	밖으로 나가라 .
go warm up .	워밍업하러 가세요 .
he gave in .	그는 포기했다 .
he hung up .	그는 전화를 끊었습니다 .
he is a dj .	그는 DJ입니다 .
he is busy .	그는 바쁘다 .
he is here !	그는 여기 있어요 !
he is kind .	그는 친절해요 .
he is late .	그는 늦었어요 .
he is lazy .	그는 게으르다 .
he is poor .	그는 가난하다 .
he is sick .	그는 아프다 .
he made it .	그는 해냈다 .
he's swiss .	그 사람은 스위스 사람이에요 .
he's broke .	그는 파산했다 .
he's drunk .	그는 취했어요 .
he's smart .	그는 똑똑해요 .
head north .	북쪽으로 가세요 .
here he is !	여기 있어요 !
here it is .	여기 있어요 .
here we go .	여기 갑니다 .
hold still .	가만히 있어라 .
how is tom ?	톰은 어때 ?
how lovely !	정말 사랑스러워요 !
how's work ?	일은 어때 ?
hurry home .	서둘러 집에 .
i admit it .	나는 그것을 인정한다 .
i am a man .	나는 남자입니다 .
i am going .	나는 간다 .
i am human .	나는 인간이다 .
i am ready .	나는 준비됐다 .
i am right .	내가 맞아요 .
i am sorry .	미안해요 .
i am tired .	나는 피곤하다 .
i broke it .	내가 그걸 깨뜨렸어 .
i built it .	내가 만들었어 .
i can come .	난 갈 수 있어요 .
i can cook .	나는 요리할 수 있어요 .
i can jump .	나는 점프할 수 있어요 .
i can read .	나는 읽을 수 있어요 .
i can sing .	나는 노래할 수 있어요 .
i can stay .	난 머물 수 있어요 .
i can swim .	나는 수영할 수 있어요 .
i can wait .	난 기다릴 수 있어요 .
i can walk .	나는 걸을 수 있어요 .
i can't go .	나는 갈 수 없다 .
i canceled .	나는 취소했다 .
i did that .	내가 그랬어 .
i disagree .	나는 동의하지 않는다 .
i do worry .	나는 걱정한다 .
i doubt it .	나는 그것을 의심한다 .
i eat here .	난 여기서 먹어요 .
i envy tom .	난 톰이 부러워요 .
i envy her .	나는 그녀가 부러워요 .
i envy him .	나는 그를 부러워해요 .
i envy you .	나는 당신이 부러워요 .
i exercise .	나는 운동한다 .
i feel bad .	기분이 안 좋아 .
i feel old .	나는 늙었다고 느낀다 .
i felt bad .	기분이 나빴어요 .
i felt ill .	나는 기분이 좋지 않았다 .
i felt sad .	나는 슬펐다 .
i fixed it .	내가 고쳤어 .
i found it .	내가 찾았어 .
i got busy .	나 바빠 .
i got hurt .	나 다쳤어 .
i got lost .	나는 길을 잃었다 .
i got sick .	나 아팠어 .
i guess so .	그런 것 같아요 .
i had help .	나는 도움을 받았습니다 .
i hate you .	당신이 싫어요 .
i have one .	나한테 하나 있어요 .
i have won .	내가 이겼다 .
i hear you .	나는 당신을 듣고 있습니다 .
i help him .	내가 그를 도와요 .
i hope not .	나는 그렇지 않기를 바랍니다 .
i know cpr .	난 심폐소생술을 알아요 .
i know her .	나는 그녀를 알아요 .
i know him .	나는 그를 알아요 .
i like tom .	나는 톰을 좋아해요 .
i like art .	나는 예술을 좋아해요 .
i like him .	나는 그를 좋아한다 .
i like tea .	나는 차를 좋아해요 .
i like you .	좋아해요 .
i liked it .	나는 그것을 좋아했다 .
i listened .	나는 들었다 .
i love tom .	나는 톰을 사랑해요 .
i love rice	난 밥을 좋아해
i love tea .	나는 차를 좋아해요 .
i love you .	사랑해요 .
i loved it .	나는 그것을 좋아했다 .
i made tea .	나는 차를 만들었습니다 .
i made two .	나는 두 개를 만들었습니다 .
i met them .	나는 그들을 만났다 .
i must run .	나는 달려야 해 .
i need air .	나는 공기가 필요해요 .
i need ice .	얼음이 필요해 .
i need you .	나는 당신이 필요합니다 .
i panicked .	나는 당황했다 .
i promised .	나는 약속했다 .
i ran away .	나는 도망쳤다 .
i ran home .	나는 집으로 달려갔다 .
i remember .	나는 기억한다 .
i said yes .	나는 그렇다고 말했다 .
i sat down .	나는 앉았다 .
i saw that .	나는 그것을 보았다 .
i saw them .	나는 그들을 보았다 .
i screamed .	나는 비명을 질렀다 .
i see them .	나는 그들을 본다 .
i shrugged .	나는 어깨를 으쓱했다 .
i survived .	나는 살아남았다 .
i threw up .	나는 토했다 .
i tried it .	나는 그것을 시도했다 .
i use this .	나는 이것을 사용합니다 .
i want one !	나는 하나를 원한다 !
i want one .	나는 하나를 원한다 .
i want you .	나는 당신을 원합니다 .
i was away .	나는 자리에 없었다 .
i was busy .	나는 바빴다 .
i was good .	나는 좋았다 .
i was hurt .	나는 다쳤습니다 .
i was last .	나는 마지막이었다 .
i was late .	내가 늦었어 .
i was lost .	나는 길을 잃었다 .
i was sick .	나는 아팠다 .
i whistled .	나는 휘파람을 불었다 .
i will try .	나는 노력할 것이다 .
i won't go .	나는 가지 않을 것이다 .
i work out .	나는 운동한다 .
i wrote it .	나는 그것을 썼다 .
i'd accept .	나는 받아들일 것이다 .
i'll check .	내가 확인해 볼게 .
i'll do it .	내가 할게 .
i'll drive .	내가 운전할게 .
i'll go in .	내가 들어갈게 .
i'll hurry .	서두르겠습니다 .
i'll leave .	나는 떠날 것이다 .
i'll shoot .	내가 쏠게 .
i'll stand .	나는 설 것이다 .
i'll start .	시작하겠습니다 .
i'm a hero .	나는 영웅이다 .
i'm a liar .	나는 거짓말쟁이야 .
i'm a twin .	나는 쌍둥이예요 .
i'm baking !	난 굽고 있어 !
i'm better .	내가 더 나아 .
i'm biased .	나는 편견이 있어요 .
i'm buying .	나는 사고 있어요 .
i'm chubby .	나는 통통하다 .
i'm eating .	나는 먹고 있어요 .
i'm famous .	나는 유명해요 .
i'm faster .	내가 더 빠르다 .
i'm flabby .	나는 연약하다 .
i'm greedy .	나는 욕심이 많다 .
i'm hiding .	나는 숨어있다 .
i'm honest .	나는 정직하다 .
i'm humble .	나는 겸손해요 .
i'm hungry !	배고파요 !
i'm hungry .	배고파요 .
i'm immune .	나는 면역이다 .
i'm in bed .	나 지금 침대에 있어 .
i'm inside .	나는 안에 있어요 .
i'm joking .	농담이에요 .
i'm loaded .	난 짐이 찼어 .
i'm lonely .	나는 외롭다 .
i'm losing .	나는지고있다 .
i'm moving .	나 이사해요 .
i'm normal .	나는 정상이다 .
i'm paying .	내가 지불하고 있어요 .
i'm pooped .	나 똥났어 .
i'm rested .	나는 쉬었다 .
i'm ruined .	난 망가졌어 .
i'm shaken .	나는 흔들렸다 .
i'm single .	나는 싱글이다 .
i'm skinny .	나는 말랐다 .
i'm sleepy !	나 졸려 !
i'm sneaky .	나는 교활하다 .
i'm so fat .	나 너무 뚱뚱해 .
i'm strict .	나는 엄격하다 .
i'm strong .	나는 강하다 .
i'm thirty .	나는 서른 살이에요 .
i'm trying .	나는 노력하고 있어요 .
i'm wasted .	난 낭비야 .
i've tried .	나는 노력했다 .
ignore tom .	톰은 무시하세요 .
ignore him .	그를 무시하세요 .
is tom ill ?	톰은 아프니 ?
is he busy ?	그 사람 바빠 ?
is he dead ?	그 사람 죽었나요 ?
is he tall ?	그 사람 키가 크니 ?
is it blue ?	파란색이야 ?
is it done ?	끝났어 ?
is it free ?	무료인가요 ?
is it hard ?	어렵나요 ?
is it love ?	사랑인가요 ?
is it nice ?	좋은가요 ?
is it safe ?	안전합니까 ?
is it time ?	시간이야 ?
is it true ?	사실인가요 ?
is that it ?	그게 그거야 ?
is that so ?	그렇습니까 ?
it is 7:30 .	그것은 7시 30분이다 .
it is cold .	춥다 .
it matters .	그것은 중요하다 .
it went ok .	괜찮아요 .
it'll work .	그것은 작동할 것이다 .
it's a fad .	그것은 유행이다 .
it's awful .	정말 끔찍해요 .
it's bogus .	그것은 가짜입니다 .
it's bulky .	그것은 부피가 크다 .
it's cheap .	싸다 .
it's clean .	깨끗해요 .
it's close .	가깝습니다 .
it's early .	일찍이야 .
it's funny .	재미있다 .
it's green .	그것은 녹색이다 .
it's my cd .	내 CD야 .
it's night .	밤이야 .
it's on me .	그것은 나에게 달려있다 .
it's phony .	그것은 가짜입니다 .
it's quiet .	조용해요 .
it's ready .	준비됐어요 .
it's right .	맞아요 .
it's safer .	그것은 더 안전합니다 .
it's sweet .	달콤해요 .
it's weird .	이상해요 .
it's wrong .	그건 틀렸어 .
it's yours .	그것은 당신 것입니다 .
jesus wept .	예수님은 눈물을 흘리셨습니다 .
just do it .	그냥 해 .
