go .	行く 。
join us .	参加しませんか 。
keep it .	そのままにしておいてください 。
kiss me .	キスして 。
me , too .	私も 。
open up .	開けてください 。
perfect !	完璧 ！
see you .	またね 。
show me .	見せて 。
shut up !	黙れ ！
so long .	さよなら 。
take it .	それを取ってください 。
tell me .	教えて 。
tom won .	トムが勝った 。
wake up !	起きろ ！
wake up .	起きろ 。
wash up .	洗います 。
we know .	私たちは知っています 。
we lost .	私たちは負けました 。
welcome .	いらっしゃいませ 。
who won ?	誰が勝ったの ？
you run .	あなたは走ります 。
am i fat ?	私は太っていますか ？
ask them .	彼らに尋ねてください 。
back off !	下がってください ！
back off .	後退してください 。
be a man .	男になりなさい 。
be still .	じっとしていてください 。
beats me .	私を殴ります 。
call tom .	トムに電話してください 。
cheer up !	元気づける ！
cool off !	クールダウン ！
cuff him .	彼に手錠をかける 。
drive on .	ドライブオン 。
find tom .	トムを見つけてください 。
fix this .	これを修正してください 。
get down !	降りてください ！
get down .	降りてください 。
get lost !	迷子になる ！
get real !	本物になる ！
go ahead .	どうぞ 。
good job !	よくやった ！
grab him .	彼を捕まえてください 。
have fun .	楽しむ 。
he tries .	彼は試みます 。
he's wet .	彼は濡れています 。
help tom .	トムを助けて 。
hi , guys .	こんにちは、みんな 。
how cute !	なんて可愛いんだろう ！
how deep ?	どのくらい深いですか ？
how nice !	なんと素敵なことでしょう ！
humor me .	ユーモア私 。
hurry up .	急いで 。
i am fat .	私は太っている 。
i did ok .	大丈夫でした 。
i did it .	やったよ 。
i failed .	失敗しました 。
i forgot .	忘れた 。
i get it .	わかった 。
i got it .	わかった 。
i helped .	私は助けました 。
i jumped .	飛び降りた 。
i looked .	見ました 。
i moaned .	私はうめきました 。
i nodded .	私はうなずいた 。
i obeyed .	私は従った 。
i phoned .	電話しました 。
i refuse .	お断りします 。
i rested .	休みました 。
i saw it .	見ました 。
i sighed .	私はため息をつきました 。
i stayed .	私は滞在しました 。
i talked .	話しました 。
i use it .	私はそれを使っています 。
i'll pay .	私が支払います 。
i'll try .	私が試してみます 。
i'm back .	戻ってきました 。
i'm bald .	私はハゲています 。
i'm busy .	私は忙しいです 。
i'm calm .	私は落ち着いています 。
i'm cold .	寒いです 。
i'm cool .	私はかっこいいです 。
i'm deaf .	私は耳が聞こえません 。
i'm done .	私は終わった 。
i'm fair .	私は公正です 。
i'm fast .	私は速いです 。
i'm fine .	元気です 。
i'm free !	私は自由だ ！
i'm free .	私は自由だ 。
i'm full .	お腹いっぱいです 。
i'm game .	私はゲームです 。
i'm glad .	私は嬉しい 。
i'm home .	ただいま 。
i'm late .	遅刻だ 。
i'm lazy .	私は怠け者です 。
i'm okay .	大丈夫です 。
i'm rich .	私は金持ちです 。
i'm safe .	私は安全です 。
i'm sick .	私は病気です 。
i'm sure .	私は確信しています 。
i'm tall .	私は背が高いです 。
i'm thin .	私は痩せています 。
i'm tidy .	私はきちんとしています 。
i'm ugly .	私は醜いです 。
i'm weak .	私は弱いです 。
i'm well .	私は元気です 。
i've won .	私は勝ちました 。
it helps .	それは助けになります 。
it hurts .	それは痛い 。
it works .	それは動作します 。
it's tom .	トムです 。
it's fun .	楽しいです 。
it's his .	それは彼のです 。
it's new .	新しいです 。
it's odd .	それは奇妙です 。
it's red .	赤です 。
it's sad .	悲しいです 。
keep out !	近づかないでください ！
keep out .	近づかないでください 。
kiss tom .	トムにキスして 。
leave it .	放置してください 。
leave me .	私に任せてください 。
leave us .	私たちにお任せください 。
let's go !	さあ行こう ！
let's go .	さあ行こう 。
look out !	外を見る ！
marry me .	結婚してください 。
may i go ?	行ってもいいですか ？
save tom .	トムを救ってください 。
she came .	彼女は来ました 。
she died .	彼女は亡くなりました 。
she runs .	彼女は走ります 。
sit down !	座って下さい ！
sit down .	座って下さい 。
sit here .	ここに座ってください 。
speak up !	話してください ！
stop tom .	トムを止めてください 。
taste it .	味わってください 。
tell tom .	トムに伝えてください 。
terrific !	素晴らしい ！
they won .	彼らは勝ちました 。
tom came .	トムが来た 。
tom died .	トムが亡くなりました 。
tom knew .	トムは知っていた 。
tom left .	トム左 。
tom lied .	トムは嘘をつきました 。
tom lies .	トムは嘘をつく 。
tom lost .	トムがいなくなった 。
tom paid .	トムが支払いました 。
too late .	遅すぎる 。
trust me .	私を信じて 。
try hard .	頑張ってください 。
try some .	いくつか試してみてください 。
try this .	これを試してみてください 。
use this .	これを使用してください 。
warn tom .	トムに警告してください 。
watch me .	私を見てください 。
watch us .	私たちを見守ってください 。
we agree .	同意します 。
we'll go .	行きます 。
what for ?	何のために ？
what fun !	なんて楽しいんだ ！
who came ?	誰が来たの ？
who died ?	誰が死んだの ？
who fell ?	誰が落ちたの ？
who quit ?	誰が辞めたの ？
who's he ?	彼は誰ですか ？
write me .	書いてください 。
you lost .	あなたは負けました 。
after you .	お先にどうぞ 。
aim . fire !	標的 。火 ！
am i late ?	私は遅れていますか ？
answer me .	答えて下さい 。
be seated .	座ってください 。
birds fly .	鳥が飛びます 。
bless you .	お大事に 。
call home !	家に電話してください ！
calm down !	落ち着け ！
calm down .	落ち着け 。
can we go ?	行ってもいいですか ？
catch tom .	トムを捕まえる 。
catch him .	彼を捕まえてください 。
come back .	戻ってくる 。
come here .	ここに来て 。
come over !	やって来る ！
come over .	やって来る 。
come soon .	すぐに来てください 。
cool down .	クールダウン 。
did i win ?	私が勝ったんですか ？
do it now .	今すぐやってください 。
dogs bark .	犬が吠える 。
don't ask .	質問しないでください 。
don't cry .	泣かないで 。
don't die .	死なないでください 。
don't lie .	嘘をつかないでください 。
don't run .	走らないでください 。
excuse me .	すみません 。
fantastic !	素晴らしい ！
feel this .	これを感じてください 。
follow me .	私に従ってください 。
follow us .	私たちに従ってください 。
forget it !	忘れて ！
forget it .	忘れて 。
get a job .	仕事を得る 。
get ready .	準備をしてください 。
go get it .	取りに行ってください 。
go inside .	中に入ります 。
go to bed .	寝る 。
good luck .	幸運を 。
grab that .	それを掴んでください 。
grab this .	これをつかんでください 。
hands off .	手を離してください 。
he is ill .	彼は病気です 。
he is old .	彼は年寄りです 。
he's a dj .	彼はDJです 。
he's good .	彼は良いよ 。
he's lazy .	彼は怠け者だ 。
he's rich .	彼は金持ちだ 。
he's sexy .	彼はセクシーだ 。
here i am .	ここにいるよ 。
here's $5 .	こちらは5ドルです 。
hold fire .	火を止めてください 。
hold this .	これを持ってください 。
how awful !	なんとひどいことでしょう ！
how weird !	なんと奇妙なことでしょう ！
how's tom ?	トムはどうですか ？
i am busy .	私は忙しいです 。
i am calm .	私は落ち着いています 。
i am cold .	寒いです 。
i am fine .	私は元気です 。
i am good .	私は元気です 。
i am here .	私はここにいます 。
i am lazy .	私は怠け者です 。
i am okay .	私は大丈夫です 。
i am sick .	私は病気です 。
i am sure .	私は確信しています 。
i am weak .	私は弱いです 。
i beg you .	お願いです 。
i can run .	走れます 。
i can ski .	スキーができます 。
i cringed .	私は身をすくめた 。
i exhaled .	私は息を吐きました 。
i gave up .	諦めました 。
i give in .	私は譲ります 。
i give up .	私はあきらめます 。
i got hot .	暑くなってきた 。
i had fun .	楽しかったです 。
i hate it .	私はそれが嫌いです 。
i have it .	持っています 。
i hit tom .	私はトムを殴った 。
i hope so .	そうだといい 。
i hurried .	私は急いだ 。
i inhaled .	吸い込んだ 。
i knew it .	私はそれを知っていた 。
i like it .	私はそれが好きです 。
i lost it .	紛失してしまいました 。
i love it !	大好きです ！
i love it .	大好きです 。
i mean it !	私は真剣です ！
i mean it .	私は真剣です 。
i must go .	私は行かなければなりません 。
i need it .	私はそれが必要です 。
i noticed .	私は気づきました 。
i prepaid .	私は前払いしました 。
i promise .	約束します 。
i relaxed .	リラックスしました 。
i retired .	私は退職しました 。
i said no .	私はノーと言った 。
i said so .	そう言いました 。
i saw him .	私は彼を見ました 。
i saw one .	一つ見ました 。
i saw you .	あなたを見かけました 。
i see tom .	トムに会ったよ 。
i shouted .	私は叫びました 。
i tripped .	つまずいてしまいました 。
i want it .	私はそれが欲しい 。
i was new .	私は新人でした 。
i will go .	私が行きます 。
i woke up .	私は目が覚めた 。
i'd agree .	私も同意します 。
i'd leave .	私は去ります 。
i'll call .	電話します 。
i'll cook .	私が料理します 。
i'll help .	私が手伝います 。
i'll live .	私は生きます 。
i'll obey .	私は従うよ 。
i'll pack .	梱包します 。
i'll pass .	私はパスします 。
i'll quit .	辞めます 。
i'll sing .	歌います 。
i'll stop .	やめます 。
i'll swim .	泳ぎます 。
i'll talk .	話します 。
i'll wait .	待ちます 。
i'll walk .	歩きます 。
i'll work .	仕事します 。
i'm a cop .	私は警官です 。
i'm a man .	私は男です 。
i'm alive .	私は生きている 。
i'm alone .	私は一人です 。
i'm angry .	私は怒っています 。
i'm armed .	私は武装しています 。
i'm awake .	私は起きています 。
i'm blind .	私は盲目です 。
i'm broke .	私は一文無しです 。
i'm clean .	私はきれいです 。
i'm crazy .	私は夢中だ 。
i'm cured .	私は治りました 。
i'm dizzy .	めまいがする 。
i'm drunk .	酔ってます 。
i'm dying .	私は死にかけている 。
i'm early .	私は早いです 。
i'm first .	私が最初です 。
i'm fussy .	私はうるさいです 。
i'm going .	私は行きます 。
i'm loyal .	私は忠実です 。
i'm lucky .	私は幸運です 。
i'm lying .	嘘をついています 。
i'm naked .	私は裸です 。
i'm quiet .	私は静かです 。
i'm ready !	準備できました ！
i'm ready .	準備できました 。
i'm right .	私は正しいです 。
i'm sober .	私は地味です 。
i'm sorry .	ごめんなさい 。
i'm stuck .	行き詰まってしまいました 。
i'm timid .	私は臆病です 。
i'm tired .	私は疲れている 。
i'm tough .	私は厳しいです 。
i'm yours .	私はあなたのものです 。
i've lost .	負けてしまいました 。
is tom ok ?	トムは大丈夫ですか ？
is it bad ?	悪いですか ？
is it far ?	遠いですか ？
is it hot ?	暑いですか ？
is it you ?	あなたですか ？
it failed .	失敗しました 。
it is new .	新品です 。
it snowed .	雪が降りました 。
it stinks .	臭いです 。
it was ok .	大丈夫でした 。
it worked .	それはうまくいきました 。
it's 3:30 .	3時30分です 。
it's 8:30 .	8時半です 。
it's a tv .	それはテレビです 。
it's cold .	寒いです 。
it's dark .	暗いです 。
it's dead .	それは死んでいる 。
it's done .	完了しました 。
it's easy .	簡単です 。
it's food .	それは食べ物です 。
it's free .	無料です 。
it's here .	ここにあります 。
it's hers .	それは彼女のものです 。
it's late .	遅いです 。
it's lost .	それは失われた 。
it's mine .	それは私のです 。
it's open .	開いています 。
it's ours .	それは私たちのものです 。
it's sand .	それは砂です 。
it's time .	時間です 。
it's true !	それは本当です ！
it's work .	それは仕事です 。
keep that .	それを保管してください 。
keep this .	これを保管してください 。
let it be .	なるがままに 。
let me go !	行かせてください ！
let me go .	行かせてください 。
let me in .	中に入れてください 。
let's ask .	聞いてみましょう 。
let's eat .	食べましょう 。
let's see .	見てみましょう 。
lie still .	じっと横たわってください 。
look back !	振り返って ！
look here .	ここを見てください 。
loosen up .	緩めます 。
move over .	上に移動します 。
nice shot !	ナイスショット ！
of course !	もちろん ！
of course .	もちろん 。
oh please !	ああ、お願いします ！
pardon me ?	ごめんなさい ？
read this .	これを読んでください 。
say hello .	こんにちは 。
see above .	上記を参照してください 。
see below .	以下を参照してください 。
seize him !	彼を捕まえてください ！
seriously ?	真剣に ？
she cried .	彼女は泣きました 。
she tried .	彼女は試してみた 。
she walks .	彼女は歩きます 。
she's hot .	彼女は暑いです 。
sign here .	ここに署名してください 。
sign this .	これに署名してください 。
slow down .	減速する 。
stay back .	戻ってください 。
stay calm .	落ち着いてください 。
stay down !	下がってください ！
stay down .	そのままでいてください 。
stay here .	ここにいてください 。
stay thin .	痩せたまま 。
step back .	一歩下がってください 。
stop that !	それはやめてください ！
stop that .	それはやめてください 。
stop them .	彼らを止めてください 。
take care !	気をつけて ！
take care .	気をつけて 。
take mine .	私のものを取ってください 。
take this .	これを取ってください 。
thank you .	ありがとう 。
that's ok .	それで大丈夫です 。
that's it .	それでおしまい 。
they fell .	彼らは落ちた 。
they left .	彼らは去りました 。
they lied .	彼らは嘘をつきました 。
they lost .	彼らは負けた 。
they swam .	彼らは泳ぎました 。
time's up .	時間切れです 。
tom cooks .	トム・クックス 。
tom cried .	トムは泣きました 。
tom is ok .	トムは大丈夫です 。
tom knits .	トムニット 。
tom knows .	トムは知っています 。
tom rocks .	トム・ロックス 。
tom spoke .	トム・スポーク 。
tom walks .	トム・ウォークス 。
tom waved .	トムは手を振った 。
tom works .	トムワークス 。
tom's fat .	トムの太った 。
tom's mad .	トムは怒っている 。
tom's sad .	トムは悲しい 。
trust tom .	トムを信頼してください 。
try again .	もう一度やり直してください 。
try it on .	試着してみてください 。
turn left .	左折してください 。
wait here .	ここで待っててください 。
watch out !	気をつけて ！
we agreed .	私たちは同意しました 。
we did it !	やった ！
we did it .	私たちがやりました 。
we forgot .	私たちは忘れていました 。
we saw it .	私たちはそれを見ました 。
we smiled .	私たちは微笑みました 。
we talked .	私たちは話しました 。
we waited .	待っていました 。
we'll try .	試してみます 。
we'll win .	私たちは勝ちます 。
we're hot .	私たちは暑いです 。
we're sad .	私たちは悲しいです 。
we're shy .	私たちは恥ずかしがり屋です 。
well done !	よくやった ！
what else ?	ほかに何か ？
what's up ?	どうしたの ？
who cares ?	誰が気にする ？
who is he ?	彼は誰ですか ？
who is it ?	誰だ ？
who knows ?	知るか ？
who spoke ?	誰が話しましたか ？
who'll go ?	誰が行きますか ？
who's tom ?	トムは誰ですか ？
who's ill ?	誰が病気ですか ？
wonderful !	素晴らしい ！
write tom .	トムと書きます 。
you drive .	あなたが運転します 。
you idiot !	馬鹿野郎 ！
you start .	あなたが始めます 。
you tried .	あなたは試しました 。
all aboard !	全員乗ってください ！
am i clear ?	私ははっきりしていますか ？
am i dying ?	私は死んでいるのでしょうか ？
am i early ?	私は早いですか ？
am i fired ?	私は解雇ですか ？
am i first ?	私が最初ですか ？
am i hired ?	私は雇われていますか ？
am i right ?	私は正しいですか ？
am i wrong ?	私は間違っていますか ？
answer tom .	トムに答えてください 。
are you ok ?	大丈夫ですか ？
are you up ?	起きていますか ？
ask anyone .	誰にでも聞いてください 。
ask around .	周りに聞いてください 。
be careful !	気をつけて ！
be careful .	気をつけて 。
be content .	内容が異なる場合がございます 。
be on time .	時間通りに来てください 。
be serious .	真剣になってください 。
birds sing .	鳥が歌います 。
bottoms up !	ボトムアップ ！
bring food .	食べ物を持ってきてください 。
bring wine .	ワインを持ってきてください 。
can i come ?	来てもいいですか ？
can i help ?	手伝ってもいいですか ？
can i stay ?	泊まってもいいですか ？
carry this .	これを持ち歩きます 。
check that .	それを確認してください 。
check this .	これをチェックしてください 。
choose one .	1つ選択してください 。
come alone .	一人で来てください 。
come along .	来てください 。
come on in !	さあ、入ってください ！
come on in .	さあ入ってください 。
come quick !	早く来てください ！
come to me .	うちにおいで 。
come to us .	私たちに来てください 。
cut it out !	切り取ってください ！
cut it out .	切り取ってください 。
did we win ?	私たちは勝ったのですか ？
dig faster .	より速く掘れます 。
do i stink ?	私は臭いですか ？
do men cry ?	男性は泣くのですか ？
don't fret .	心配しないでください 。
don't jump !	ジャンプしないでください ！
don't move !	動かないで下さい ！
don't move .	動かないで下さい 。
don't rush .	急がないでください 。
don't sing .	歌わないでください 。
don't talk !	話さないでください ！
don't talk .	話さないでください 。
don't wait .	待ってはいけません 。
duty calls .	任務の呼び出し 。
face facts !	事実に直面してください ！
fill it up .	埋めてください 。
find a job .	仕事を見つけてください 。
follow tom .	トムをフォローしてください 。
follow him .	彼に従ってください 。
forget tom .	トムのことは忘れてください 。
forget him .	彼のことは忘れてください 。
forgive me .	私を許して 。
forgive us .	ご容赦ください 。
get a life !	命を手に入れよう ！
get to bed .	寝なさい 。
give it up .	あきらめてください 。
go outside .	外に出てください 。
go warm up .	ウォーミングアップに行きます 。
he gave in .	彼は屈服した 。
he hung up .	彼は電話を切りました 。
he is a dj .	彼はDJです 。
he is busy .	彼は忙しいです 。
he is here !	彼はここにいるよ ！
he is kind .	彼は親切です 。
he is late .	彼は遅刻しています 。
he is lazy .	彼は怠け者だ 。
he is poor .	彼は貧しいです 。
he is sick .	彼は病気です 。
he made it .	彼はそれを作りました 。
he's swiss .	彼はスイス人です 。
he's broke .	彼は一文無しだ 。
he's drunk .	彼は酔っている 。
he's smart .	彼は賢いです 。
head north .	北へ向かいます 。
here he is !	彼はここにいます ！
here it is .	ここにあります 。
here we go .	さぁ行こう 。
hold still .	じっとしてください 。
how is tom ?	トムはどうですか ？
how lovely !	なんと素敵なことでしょう ！
how's work ?	仕事はどうですか ？
hurry home .	急いで家に帰りなさい 。
i admit it .	それは認めます 。
i am a man .	私は男です 。
i am going .	私は行きます 。
i am human .	私は人間です 。
i am ready .	私は準備ができています 。
i am right .	私は正しいです 。
i am sorry .	ごめんなさい 。
i am tired .	私は疲れました 。
i broke it .	壊してしまいました 。
i built it .	私が作りました 。
i can come .	来られます 。
i can cook .	私は料理ができます 。
i can jump .	ジャンプできます 。
i can read .	読めます 。
i can sing .	私は歌うことができます 。
i can stay .	滞在できます 。
i can swim .	私は泳ぐことができます 。
i can wait .	待ってますよ 。
i can walk .	歩けます 。
i can't go .	行けません 。
i canceled .	キャンセルしました 。
i did that .	私はそれをしました 。
i disagree .	私は同意しません 。
i do worry .	心配です 。
i doubt it .	私はそれを疑う 。
i eat here .	ここで食べます 。
i envy tom .	トムがうらやましいです 。
i envy her .	彼女がうらやましいです 。
i envy him .	彼がうらやましいです 。
i envy you .	私はあなたがうらやましい 。
i exercise .	私は運動します 。
i feel bad .	申し訳ありません 。
i feel old .	老けた気がする 。
i felt bad .	気分が悪かった 。
i felt ill .	気分が悪くなった 。
i felt sad .	悲しくなりました 。
i fixed it .	修正しました 。
i found it .	見つけた 。
i got busy .	忙しくなりました 。
i got hurt .	怪我をしました 。
i got lost .	道に迷ってしまいました 。
i got sick .	病気になりました 。
i guess so .	私はそう思います 。
i had help .	助けてもらいました 。
i hate you .	あなたが嫌い​​です 。
i have one .	私は1つ持っています 。
i have won .	私は勝ちました 。
i hear you .	聞こえますよ 。
i help him .	私は彼を助けます 。
i hope not .	そうでなければいいのですが 。
i know cpr .	私は心肺蘇生法を知っています 。
i know her .	私は彼女を知っています 。
i know him .	私は彼を知っています 。
i like tom .	私はトムが好きです 。
i like art .	私はアートが好きです 。
i like him .	私は彼が好きです 。
i like tea .	私はお茶が好きです 。
i like you .	私はあなたが好きです 。
i liked it .	気に入りました 。
i listened .	聞きました 。
i love tom .	私はトムが大好きです 。
i love rice	お米が大好きです
i love tea .	私はお茶が大好きです 。
i love you .	愛してます 。
i loved it .	大好きでした 。
i made tea .	お茶を作りました 。
i made two .	2つ作りました 。
i met them .	私は彼らに会いました 。
i must run .	走らなければなりません 。
i need air .	空気が必要です 。
i need ice .	氷が必要です 。
i need you .	私には、あなたが必要です 。
i panicked .	パニックになった 。
i promised .	約束したよ 。
i ran away .	私は逃げました 。
i ran home .	私は家に走って帰りました 。
i remember .	私は覚えています 。
i said yes .	私はそうだと言いました 。
i sat down .	私は座りました 。
i saw that .	それを見ました 。
i saw them .	私は彼らを見ました 。
i screamed .	私は叫びました 。
i see them .	見えます 。
i shrugged .	私は肩をすくめた 。
i survived .	私は生き残った 。
i threw up .	吐いてしまいました 。
i tried it .	試してみました 。
i use this .	私はこれを使います 。
i want one !	欲しいです ！
i want one .	欲しいです 。
i want you .	私はあなたが欲しいです 。
i was away .	私は離れていました 。
i was busy .	忙しかったです 。
i was good .	良かったです 。
i was hurt .	怪我をしました 。
i was last .	私が最後でした 。
i was late .	遅刻しました 。
i was lost .	迷ってしまいました 。
i was sick .	私は病気だった 。
i whistled .	私は口笛を吹きました 。
i will try .	試してみます 。
i won't go .	行きません 。
i work out .	私は運動します 。
i wrote it .	私が書きました 。
i'd accept .	受け入れます 。
i'll check .	確認します 。
i'll do it .	やります 。
i'll drive .	私が運転します 。
i'll go in .	入ります 。
i'll hurry .	急ぎます 。
i'll leave .	出発します 。
i'll shoot .	撃ちます 。
i'll stand .	私は立っています 。
i'll start .	始めます 。
i'm a hero .	私はヒーローです 。
i'm a liar .	私は嘘つきです 。
i'm a twin .	私は双子です 。
i'm baking !	焼いてるよ ！
i'm better .	私は良くなりました 。
i'm biased .	私は偏見を持っています 。
i'm buying .	買っています 。
i'm buying .	i'm buying .
i'm chubby .	i'm chubby .
i'm eating .	i'm eating .
i'm famous .	i'm famous .
i'm faster .	i'm faster .
i'm flabby .	i'm flabby .
i'm greedy .	i'm greedy .
i'm hiding .	i'm hiding .
i'm honest .	i'm honest .
i'm humble .	i'm humble .
i'm hungry !	お腹が空きました ！
i'm hungry .	お腹が空きました 。
i'm immune .	i'm immune .
i'm in bed .	i'm in bed .
i'm inside .	i'm inside .
i'm joking .	冗談です 。
i'm loaded .	i'm loaded .
i'm lonely .	i'm lonely .
i'm losing .	i'm losing .
i'm moving .	i'm moving .
i'm normal .	i'm normal .
i'm paying .	i'm paying .
i'm pooped .	i'm pooped .
i'm rested .	i'm rested .
i'm ruined .	i'm ruined .
i'm shaken .	i'm shaken .
i'm single .	私は独身です 。
i'm skinny .	私は痩せています 。
i'm sleepy !	私は眠い ！
i'm sneaky .	私は卑劣です 。
i'm so fat .	私はとても太っています 。
i'm strict .	私は厳しいです 。
i'm strong .	私は強いです 。
i'm thirty .	私は30歳です 。
i'm trying .	私はしようとしています 。
i'm wasted .	無駄だ 。
i've tried .	試してみました 。
ignore tom .	トムを無視してください 。
ignore him .	彼を無視してください 。
is tom ill ?	トムは病気ですか ?
is he busy ?	彼は忙しいですか ？
is he dead ?	彼は死んでいますか ？
is he tall ?	彼は背が高いですか ？
is it blue ?	青いですか ？
is it done ?	終わったのか ？
is it free ?	無料ですか ？
is it hard ?	大変ですか ？
is it love ?	それは愛ですか ？
is it nice ?	いいですか ？
is it safe ?	安全ですか ？
is it time ?	時間ですか ？
is it true ?	それは本当ですか ？
is that it ?	そうですか ？
is that so ?	そうですか ？
it is 7:30 .	7時半です 。
it is cold .	寒いです 。
it matters .	それは重要です 。
it went ok .	うまくいきました 。
it'll work .	うまくいきます 。
it's a fad .	それは流行です 。
it's awful .	ひどいです 。
it's bogus .	それは偽物です 。
it's bulky .	かさばります 。
it's cheap .	安いです 。
it's clean .	きれいです 。
it's close .	近いです 。
it's early .	早いです 。
it's funny .	面白いですね 。
it's green .	緑色です 。
it's my cd .	それは私のCDです 。
it's night .	夜です 。
it's on me .	それは私にあります 。
it's phony .	それはインチキです 。
it's quiet .	静かです 。
it's ready .	準備は完了です 。
it's right .	そうです 。
it's safer .	より安全です 。
it's sweet .	甘いです 。
it's weird .	変だよ 。
it's wrong .	それは違います 。
it's yours .	それはあなたのものです 。
jesus wept .	イエスは泣きました 。
just do it .	やるだけ 。
just relax .	ただリラックスしてください 。
keep quiet !	静かにしてください ！
keep quiet .	静かにしてください 。
keep still .	じっとしててください 。
let him go !	彼を行かせてください ！
let him go .	彼を行かせてください 。
let him in .	彼を中に入れてください 。
let me die .	死なせてください 。
let me out !	出してください ！
let me pay .	支払わせてください 。
let me see .	そうねぇ 。
let me try .	試してみます 。
let us out .	外に出させてください 。
let's chat .	チャットしましょう 。
let's kiss .	キスしましょう 。
let's pray .	祈りましょう 。
let's talk .	話しましょう 。
let's work .	働きましょう 。
lighten up .	軽くなります 。
look again .	もう一度見てください 。
look at it .	それを見てください 。
look at me .	私を見て 。
look it up .	調べてください 。
love hurts .	愛は痛い 。
mama cried .	ママは泣いた 。
never mind !	どうでも ！
no comment .	ノーコメント 。
no kidding ?	冗談じゃない ？
no problem !	問題ない ！
no problem .	問題ない 。
oh , really ?	まあ、本当に ？
once again .	もう一度 。
pick it up .	それを拾ってください 。
please sit .	座ってください 。
run for it !	走ってください ！
say please .	言ってください 。
shadow him .	彼に影を落としてください 。
she is old .	彼女は年寄りです 。
she smiled .	彼女は微笑んだ 。
she's busy .	彼女は忙しいです 。
she's nice .	彼女はいいです 。
smell this .	この匂いを嗅ぎます 。
stand back !	下がってください ！
start here .	ここから始めてください 。
stay alert .	警戒してください 。
stay awake .	起きていてください 。
stay close .	近くにいてください 。
stay sharp .	鋭く保ちなさい 。
stay still .	じっとしてください 。
step aside .	一歩脇に置いてください 。
stop lying .	嘘をつくのはやめてください 。
study hard .	一生懸命勉強してください 。
take a bus .	バスに乗ります 。
take a nap .	昼寝をしましょう 。
take cover !	隠れてください ！
take notes .	メモを取る 。
talk to me !	私に話して ！
talk to me .	私に話して 。
taste this .	これを味わってください 。
that a boy !	それは男の子です ！
that hurts .	それは痛いです 。
that works .	それは機能します 。
that's all .	それだけです 。
that's fun .	それは楽しいですね 。
that's her .	それは彼女です 。
that's his .	それは彼のです 。
that's odd .	それは奇妙だ 。
they agree .	彼らは同意します 。
they cheat .	彼らは騙します 。
they voted .	彼らは投票した 。
this is it .	これです 。
this works .	これは機能します 。
time flies .	時間が経つのは早い 。
time is up .	時間切れです 。
tom agrees .	トムも同意します 。
tom cheats .	トムチート 。
tom cursed .	トムは呪われた 。
tom drinks .	トムドリンク 。
tom drives .	トム・ドライブス 。
tom forgot .	トムは忘れてしまいました 。
tom helped .	トムが手伝ってくれました 。
tom is fat .	トムは太っています 。
tom is mad .	トムは怒っている 。
tom is new .	トムは新しいです 。
tom is sad .	トムは悲しいです 。
tom jumped .	トムは飛び降りた 。
tom looked .	トムは見た 。
tom nodded .	トムはうなずいた 。
tom obeyed .	トムは従った 。
tom paints .	トムペイント 。
