go .	가다 .
come here .	이리 오세요 .
come over !	이리와 !
come over .	이리와 .
come soon .	곧 오세요 .
cool down .	진정해 .
did i win ?	내가 이겼어 ?
do it now .	지금 하세요 .
dogs bark .	개들이 짖는다 .
don't ask .	묻지 마세요 .
don't cry .	울지 마세요 .
don't die .	죽지 마세요 .
don't lie .	거짓말하지 마세요 .
don't run .	뛰지 마세요 .
excuse me .	실례합니다 .
fantastic !	환상적이다 !
feel this .	이것을 느껴라 .
follow me .	나를 따르라 .
follow us .	우리를 따르십시오 .
forget it !	잊어 버려 !
forget it .	잊어 버려 .
get a job .	취직 .
get ready .	준비하세요 .
go get it .	가서 가져와 .
go inside .	안으로 들어가세요 .
go to bed .	자러 가세요 .
good luck .	행운을 빌어요 .
grab that .	그거 잡아 .
